X,Y,HEIGHT_M,TEMP_C_MEAN,RAIN_MM,LAND_USE,LAND_COVER,CLIMATE_CLASS,SHI_OBSERVED,POINT_ID
21.7780224633002,51.2070973131863,129.19,8.98,569.67,Agriculture (excluding fallow land and kitchen gardens),Cropland,26,2.9,51403188
23.8853856142435,58.5003033313521,34.43,7.04,622.92,Forestry,Woodland,26,3.75,51264012
20.2171782791626,48.4730067878923,303.33,9.7,562.72,Forestry,Woodland,26,2.7,50742870
25.9840334658143,59.5546178211218,46.23,6.24,615.09,Forestry,Woodland,26,3.75,52184152
23.4076517681617,50.6094259593589,286.64,8.42,623.62,Agriculture (excluding fallow land and kitchen gardens),Cropland,26,2.45,52643142
14.7311752767771,46.24655976897,776.88,8.41,1572.64,Agriculture (excluding fallow land and kitchen gardens),Grassland,26,3.8,46862582
17.4293680705362,51.1334966655012,136.54,9.51,560.16,Agriculture (excluding fallow land and kitchen gardens),Cropland,26,2.9,48403140
22.9225051363861,55.0567261830857,46.18,7.88,582.97,Agriculture (excluding fallow land and kitchen gardens),Cropland,26,3.2,51423624
9.03981866987596,48.4892832319707,348.11,9.84,758.4,Agriculture (excluding fallow land and kitchen gardens),Grassland,15,3.85,42502820
10.6395323974037,48.7974643406997,426.1,9.21,668.76,Agriculture (excluding fallow land and kitchen gardens),Grassland,15,3.55,43682854
26.3754215004872,58.1070215674166,107.02,6.4,664.29,Forestry,Woodland,26,3.0,52784000
-1.97044764450668,51.4963905708325,119.8,10.37,777.25,Agriculture (excluding fallow land and kitchen gardens),Grassland,15,3.85,34943222
11.1652639777569,45.624134125212,1132.19,9.41,1672.16,Agriculture (excluding fallow land and kitchen gardens),Grassland,26,4.0,44122502
4.59359424873205,46.5032959817046,216.99,11.31,823.9,Agriculture (excluding fallow land and kitchen gardens),Grassland,15,3.8,39062614
-2.23145166771493,42.4205445303972,350.47,14.23,436.31,Agriculture (excluding fallow land and kitchen gardens),Bareland,14,2.9,33162228
-0.345529772294575,42.0136961347185,417.12,14.86,431.13,Agriculture (excluding fallow land and kitchen gardens),Cropland,14,2.4,34642160
8.87494142226461,53.3068290429913,6.72,9.87,817.3,Agriculture (excluding fallow land and kitchen gardens),Grassland,15,3.75,42463356
-1.82398294753444,41.1015634968056,1044.96,12.04,396.53,Agriculture (excluding fallow land and kitchen gardens),Cropland,15,3.1,33282078
-7.33914694341499,38.9869726454422,326.78,16.66,547.49,Forestry,Woodland,8,3.0,28241938
-4.9685486111577,40.0299103326358,413.54,15.61,520.85,Agriculture (excluding fallow land and kitchen gardens),Grassland,7,2.25,30462008
17.2837875835068,49.8428098444109,595.13,8.02,710.19,Agriculture (excluding fallow land and kitchen gardens),Cropland,26,3.15,48442996
-5.11981618312551,42.9050989954404,1070.38,8.12,954.25,Semi-natural and natural areas not in use,Woodland,9,3.7,30922324
14.8712597800594,50.8187443173408,339.01,8.83,704.65,Agriculture (excluding fallow land and kitchen gardens),Grassland,26,3.75,46643090
15.2287240715619,45.7540321428796,337.54,9.86,1213.67,Forestry,Woodland,15,3.15,47282530
-3.61209156126586,38.9105437176199,644.32,15.63,352.37,Agriculture (excluding fallow land and kitchen gardens),Cropland,7,2.7,31401864
-2.15213870156841,38.0639085026698,1185.62,12.89,346.94,Agriculture (excluding fallow land and kitchen gardens),Grassland,8,2.55,32521750
13.5932499479859,50.4696417737817,234.44,9.42,488.55,Agriculture (excluding fallow land and kitchen gardens),Cropland,15,3.4,45763046
