X,Y,POINT_ID,HEIGHT_M,TEMP_C_MEAN,RAIN_MM,LAND_USE,LAND_COVER,CLIMATE_CLASS,SHI_OBSERVED
23.0164109670965,55.5393077358679,51383678,119.96,7.34,594.77,Agriculture (excluding fallow land and kitchen gardens),Grassland,26,2.75
23.7263139489458,55.5366612346436,51823686,99.46,7.38,540.19,Agriculture (excluding fallow land and kitchen gardens),Cropland,26,3.5
23.3893904629201,55.5913225409554,51603688,144.73,7.2,572.78,Agriculture (excluding fallow land and kitchen gardens),Bareland,26,2.85
23.8321538530631,55.5615731909121,51883690,86.08,7.43,537.85,Agriculture (excluding fallow land and kitchen gardens),Cropland,26,3.6
23.2704578411788,55.6221909484346,51523690,131.82,7.23,574.81,Agriculture (excluding fallow land and kitchen gardens),Cropland,26,2.75
24.5359998531963,55.5367737840623,52323696,74.1,7.38,561.76,Agriculture (excluding fallow land and kitchen gardens),Cropland,26,3.2
24.0193730881273,55.6321869137778,51983700,65.62,7.46,534.81,Agriculture (excluding fallow land and kitchen gardens),Cropland,26,3.1
23.9632493316983,55.6567189281071,51943702,74.18,7.4,536.89,Agriculture (excluding fallow land and kitchen gardens),Cropland,26,2.95
23.0242705495458,55.7573642250496,51343702,200.52,7.22,581.7,Forestry,Woodland,26,3.75
24.2256927605653,55.6638477409452,52103706,45.93,7.49,541.76,Agriculture (excluding fallow land and kitchen gardens),Cropland,26,3.95
23.606621702858,55.7506078573268,51703708,133.77,7.29,538.03,Forestry,Woodland,26,3.65
23.3932907681429,55.7917131537567,51563710,130.2,7.22,558.6,Agriculture (excluding fallow land and kitchen gardens),Cropland,26,3.15
22.9024212056939,55.8792986375036,51243714,109.46,7.23,573.95,Agriculture (excluding fallow land and kitchen gardens),Cropland,26,2.8
23.6878310880135,55.7966150072812,51743714,106.17,7.29,538.03,Agriculture (excluding fallow land and kitchen gardens),Cropland,26,3.45
23.926099351592,55.8253502082238,51883720,71.49,7.39,528.59,Agriculture (excluding fallow land and kitchen gardens),Cropland,26,4.0
24.74634072925,55.7502655053732,52403722,76.48,7.3,568.13,Forestry,Woodland,26,3.8
24.8622079322747,55.6266909784285,52503710,91.67,7.21,574.92,Agriculture (excluding fallow land and kitchen gardens),Cropland,26,2.7
24.8023159641964,55.4689200531825,52503692,90.45,7.3,575.91,Agriculture (excluding fallow land and kitchen gardens),Grassland,26,2.8
24.7429890394774,55.3111145961487,52503674,79.95,7.44,570.51,Agriculture (excluding fallow land and kitchen gardens),Cropland,26,3.2
