n_estimators,max_features,max_samples,min_samples_split,min_samples_leaf,oob_r2,oob_rmse
500,sqrt,0.5,30,5,0.38603506375302254,0.35082364367832025
100,sqrt,0.5,10,10,0.3795955522209241,0.35265863453449425
200,sqrt,0.5,10,10,0.38289696031404086,0.35171906753898224
500,sqrt,0.5,10,10,0.3825994095401415,0.35180385213869286
100,sqrt,0.5,20,10,0.3795955522209241,0.35265863453449425
200,sqrt,0.5,20,10,0.38289696031404086,0.35171906753898224
500,sqrt,0.5,20,10,0.3825994095401415,0.35180385213869286
100,sqrt,0.5,30,10,0.37694121477723297,0.35341223642472963
200,sqrt,0.5,30,10,0.37826070700234893,0.3530378160147927
500,sqrt,0.5,30,10,0.3784265251099864,0.35299073521507474
100,sqrt,0.5,10,15,0.372157555302006,0.3547663391539829
200,sqrt,0.5,10,15,0.3742453625452785,0.35417598362268626
500,sqrt,0.5,10,15,0.3731914592837112,0.3544741118097849
100,sqrt,0.5,20,15,0.372157555302006,0.3547663391539829
200,sqrt,0.5,20,15,0.3742453625452785,0.35417598362268626
500,sqrt,0.5,20,15,0.3731914592837112,0.3544741118097849
100,sqrt,0.5,30,15,0.372157555302006,0.3547663391539829
200,sqrt,0.5,30,15,0.3742453625452785,0.35417598362268626
500,sqrt,0.5,30,15,0.3731914592837112,0.3544741118097849
100,sqrt,0.632,10,5,0.3959305680328007,0.34798498082092166
200,sqrt,0.632,10,5,0.3970338367326116,0.3476670567752802
500,sqrt,0.632,10,5,0.39694315523707635,0.3476931990244748
100,sqrt,0.632,20,5,0.3899085645854282,0.3497152205982819
200,sqrt,0.632,20,5,0.391816155586042,0.34916806007720114
500,sqrt,0.632,20,5,0.39296739069296593,0.34883743230899766
100,sqrt,0.632,30,5,0.3874322639426945,0.35042423157773206
200,sqrt,0.632,30,5,0.39004854232923103,0.34967509943536507
500,sqrt,0.632,30,5,0.3898136239793668,0.34974243035854075
100,sqrt,0.632,10,10,0.38448695725219706,0.351265664386036
200,sqrt,0.632,10,10,0.38580146922124203,0.35089037606524154
500,sqrt,0.632,10,10,0.38559516121402393,0.35094930279055375
100,sqrt,0.632,20,10,0.38448695725219706,0.351265664386036
200,sqrt,0.632,20,10,0.38580146922124203,0.35089037606524154
500,sqrt,0.632,20,10,0.38559516121402393,0.35094930279055375
100,sqrt,0.632,30,10,0.3823425968662415,0.3518770123333024
200,sqrt,0.632,30,10,0.3829565810032436,0.3517020766651898
500,sqrt,0.632,30,10,0.38315106041122815,0.3516466476630521
100,sqrt,0.632,10,15,0.37699068093695365,0.3533982070156705
200,sqrt,0.632,10,15,0.3781812112006554,0.3530603850622092
500,sqrt,0.632,10,15,0.37755738539209505,0.3532374406385872
100,sqrt,0.632,20,15,0.37699068093695365,0.3533982070156705
200,sqrt,0.632,20,15,0.3781812112006554,0.3530603850622092
500,sqrt,0.632,20,15,0.37755738539209505,0.3532374406385872
100,sqrt,0.632,30,15,0.37699068093695365,0.3533982070156705
200,sqrt,0.632,30,15,0.3781812112006554,0.3530603850622092
500,sqrt,0.632,30,15,0.37755738539209505,0.3532374406385872
100,sqrt,0.8,10,5,0.39385982912357453,0.3485809136051189
200,sqrt,0.8,10,5,0.3966952077258389,0.3477646689071581
500,sqrt,0.8,10,5,0.398825837018715,0.34715004347346934
100,sqrt,0.8,20,5,0.39424602361016103,0.34846984896765937
200,sqrt,0.8,20,5,0.39433177020490673,0.34844518453162737
500,sqrt,0.8,20,5,0.39549275427189656,0.3481110631964153
100,sqrt,0.8,30,5,0.3915728108152233,0.3492379071511796
200,sqrt,0.8,30,5,0.3927122302597219,0.34891073986890747
500,sqrt,0.8,30,5,0.39247212034419765,0.348979709353507
100,sqrt,0.8,10,10,0.3880925538026271,0.35023531863094304
200,sqrt,0.8,10,10,0.3883423184539586,0.3501638328768442
500,sqrt,0.8,10,10,0.3895078090693461,0.3498300618234893
100,sqrt,0.8,20,10,0.3880925538026271,0.35023531863094304
200,sqrt,0.8,20,10,0.3883423184539586,0.3501638328768442
500,sqrt,0.8,20,10,0.3895078090693461,0.3498300618234893
100,sqrt,0.8,30,10,0.38508327637426143,0.3510954671877106
200,sqrt,0.8,30,10,0.38642848106787486,0.3507112250327288
500,sqrt,0.8,30,10,0.38621330202258386,0.3507727167162295
100,sqrt,0.8,10,15,0.3794553180522119,0.3526984891779423
200,sqrt,0.8,10,15,0.3809392870542001,0.3522765156073986
500,sqrt,0.8,10,15,0.38103404044671274,0.3522495548654083
100,sqrt,0.8,20,15,0.3794553180522119,0.3526984891779423
200,sqrt,0.8,20,15,0.3809392870542001,0.3522765156073986
500,sqrt,0.8,20,15,0.38103404044671274,0.3522495548654083
100,sqrt,0.8,30,15,0.3794553180522119,0.3526984891779423
200,sqrt,0.8,30,15,0.3809392870542001,0.3522765156073986
500,sqrt,0.8,30,15,0.38103404044671274,0.3522495548654083
