POINT_ID,SHI,hoehe_m,Landuse,Landcover
36483460,2.95,10.5,Agriculture (excluding fallow land and kitchen gardens),Bareland
34261794,3.15,633.95,Agriculture (excluding fallow land and kitchen gardens),Cropland
36083178,3.75,190.09,Agriculture (excluding fallow land and kitchen gardens),Grassland
35522766,2.65,40.94,Agriculture (excluding fallow land and kitchen gardens),Cropland
34582042,2.9,473.39,Agriculture (excluding fallow land and kitchen gardens),Cropland
34642088,2.85,340.37,Fallow land,Bareland
35342626,3.65,94.57,Agriculture (excluding fallow land and kitchen gardens),Cropland
35602810,3.35,68.22,Agriculture (excluding fallow land and kitchen gardens),Cropland
35642830,3.45,152.15,Agriculture (excluding fallow land and kitchen gardens),Cropland
35662844,3.45,213.77,Agriculture (excluding fallow land and kitchen gardens),Cropland
35482708,3.3,61.94,Agriculture (excluding fallow land and kitchen gardens),Cropland
34782164,3.0,451.61,Agriculture (excluding fallow land and kitchen gardens),Cropland
35562756,2.6,35.72,Agriculture (excluding fallow land and kitchen gardens),Cropland
34642044,3.15,372.87,Agriculture (excluding fallow land and kitchen gardens),Cropland
35002314,2.8,212.65,Agriculture (excluding fallow land and kitchen gardens),Grassland
34381810,3.5,80.39,Fallow land,Grassland
35342564,3.35,47.04,Agriculture (excluding fallow land and kitchen gardens),Cropland
35242486,3.0,46.4,Agriculture (excluding fallow land and kitchen gardens),Cropland
35442636,3.9,82.49,Agriculture (excluding fallow land and kitchen gardens),Cropland
35382588,3.35,113.78,Agriculture (excluding fallow land and kitchen gardens),Cropland
35582728,2.95,40.11,Agriculture (excluding fallow land and kitchen gardens),Cropland
34421810,3.45,20.05,Fallow land,Bareland
34822134,3.35,363.08,Agriculture (excluding fallow land and kitchen gardens),Cropland
34762078,3.0,154.84,Fallow land,Bareland
35522672,3.25,162.92,Agriculture (excluding fallow land and kitchen gardens),Cropland
34621956,3.1,272.97,Agriculture (excluding fallow land and kitchen gardens),Cropland
34882166,2.8,549.26,Agriculture (excluding fallow land and kitchen gardens),Cropland
35742828,3.55,110.63,Agriculture (excluding fallow land and kitchen gardens),Cropland
34842126,2.3,236.09,Fallow land,Bareland
35842898,3.1,163.03,Agriculture (excluding fallow land and kitchen gardens),Cropland
35642746,2.85,41.85,Agriculture (excluding fallow land and kitchen gardens),Cropland
35362530,2.85,86.86,Agriculture (excluding fallow land and kitchen gardens),Cropland
34882144,2.55,480.81,Agriculture (excluding fallow land and kitchen gardens),Cropland
35442582,3.6,81.58,Agriculture (excluding fallow land and kitchen gardens),Cropland
35002236,3.85,1667.91,Agriculture (excluding fallow land and kitchen gardens),Grassland
34902136,3.05,400.83,Agriculture (excluding fallow land and kitchen gardens),Cropland
35382516,3.4,82.67,Agriculture (excluding fallow land and kitchen gardens),Cropland
35082276,3.2,507.83,Agriculture (excluding fallow land and kitchen gardens),Cropland
35102290,2.6,320.37,Agriculture (excluding fallow land and kitchen gardens),Cropland
34942160,2.85,437.7,Agriculture (excluding fallow land and kitchen gardens),Cropland
35162334,2.1,125.58,Agriculture (excluding fallow land and kitchen gardens),Cropland
34802042,3.2,542.03,Semi-natural and natural areas not in use,Shrubland
35922918,3.65,85.69,Agriculture (excluding fallow land and kitchen gardens),Cropland
35302442,2.45,100.6,Agriculture (excluding fallow land and kitchen gardens),Cropland
35202360,2.55,158.13,Agriculture (excluding fallow land and kitchen gardens),Cropland
36243140,2.6,13.21,Agriculture (excluding fallow land and kitchen gardens),Grassland
35722746,3.65,112.7,Forestry,Woodland
35522590,3.5,90.54,Agriculture (excluding fallow land and kitchen gardens),Cropland
35542602,3.85,145.54,Agriculture (excluding fallow land and kitchen gardens),Cropland
35402488,2.5,41.05,Agriculture (excluding fallow land and kitchen gardens),Grassland
35562612,3.75,143.29,Agriculture (excluding fallow land and kitchen gardens),Cropland
35622658,2.85,151.47,Agriculture (excluding fallow land and kitchen gardens),Cropland
34982150,3.1,325.1,Agriculture (excluding fallow land and kitchen gardens),Cropland
34882068,3.45,301.73,Agriculture (excluding fallow land and kitchen gardens),Cropland
34962128,3.1,212.98,Agriculture (excluding fallow land and kitchen gardens),Cropland
36002938,3.65,166.51,Forestry,Woodland
36303160,3.3,101.32,Agriculture (excluding fallow land and kitchen gardens),Grassland
35622640,3.65,153.02,Agriculture (excluding fallow land and kitchen gardens),Cropland
35202306,2.3,216.79,Agriculture (excluding fallow land and kitchen gardens),Cropland
36042956,3.8,36.62,Agriculture (excluding fallow land and kitchen gardens),Grassland
35002134,2.9,251.37,Agriculture (excluding fallow land and kitchen gardens),Cropland
35742714,2.75,46.75,Agriculture (excluding fallow land and kitchen gardens),Cropland
35582584,3.6,86.51,Agriculture (excluding fallow land and kitchen gardens),Cropland
35042146,3.45,299.47,Fallow land,Grassland
35002110,2.3,261.73,Fallow land,Bareland
35242302,2.15,225.72,Agriculture (excluding fallow land and kitchen gardens),Cropland
35422446,2.3,36.54,Agriculture (excluding fallow land and kitchen gardens),Cropland
35142218,3.95,1134.44,Semi-natural and natural areas not in use,Woodland
35882802,3.1,48.8,Agriculture (excluding fallow land and kitchen gardens),Cropland
35582566,3.85,100.71,Agriculture (excluding fallow land and kitchen gardens),Cropland
35522518,2.8,144.45,Forestry,Woodland
35042124,3.1,280.34,Agriculture (excluding fallow land and kitchen gardens),Cropland
35442438,2.35,106.66,Agriculture (excluding fallow land and kitchen gardens),Cropland
35382378,3.2,99.61,Semi-natural and natural areas not in use,Grassland
35662600,3.2,120.67,Agriculture (excluding fallow land and kitchen gardens),Cropland
35342334,2.7,180.15,Agriculture (excluding fallow land and kitchen gardens),Cropland
35582524,2.8,90.37,Agriculture (excluding fallow land and kitchen gardens),Cropland
35602536,3.6,130.02,Agriculture (excluding fallow land and kitchen gardens),Cropland
35842712,3.35,74.49,Agriculture (excluding fallow land and kitchen gardens),Cropland
35042052,3.55,384.27,Agriculture (excluding fallow land and kitchen gardens),Cropland
35322282,3.65,498.45,Agriculture (excluding fallow land and kitchen gardens),Grassland
35402344,2.4,133.77,Agriculture (excluding fallow land and kitchen gardens),Cropland
36062860,3.55,187.29,Agriculture (excluding fallow land and kitchen gardens),Grassland
36122898,3.55,266.43,Agriculture (excluding fallow land and kitchen gardens),Grassland
36463156,2.9,97.12,Forestry,Woodland
36162924,3.55,185.44,Agriculture (excluding fallow land and kitchen gardens),Cropland
35502398,2.5,34.84,Agriculture (excluding fallow land and kitchen gardens),Cropland
35402314,2.6,248.52,Agriculture (excluding fallow land and kitchen gardens),Cropland
35882698,2.4,86.19,Agriculture (excluding fallow land and kitchen gardens),Cropland
35142092,3.0,83.16,Agriculture (excluding fallow land and kitchen gardens),Cropland
35522406,2.4,29.54,Agriculture (excluding fallow land and kitchen gardens),Cropland
35182124,3.05,221.23,Agriculture (excluding fallow land and kitchen gardens),Cropland
35462350,3.0,136.05,Agriculture (excluding fallow land and kitchen gardens),Cropland
35302214,3.65,1379.28,Semi-natural and natural areas not in use,Woodland
35542404,2.25,58.6,Agriculture (excluding fallow land and kitchen gardens),Cropland
35922706,2.65,119.3,Agriculture (excluding fallow land and kitchen gardens),Cropland
35422288,2.45,315.6,Agriculture (excluding fallow land and kitchen gardens),Cropland
35382238,3.85,1391.23,Agriculture (excluding fallow land and kitchen gardens),Grassland
35242112,3.35,272.95,Agriculture (excluding fallow land and kitchen gardens),Cropland
35742526,3.65,152.18,Forestry,Woodland
36142842,3.75,77.26,Agriculture (excluding fallow land and kitchen gardens),Cropland
35462290,2.5,291.38,Agriculture (excluding fallow land and kitchen gardens),Cropland
36563158,3.1,27.18,Semi-natural and natural areas not in use,Woodland
35882622,3.25,146.02,Agriculture (excluding fallow land and kitchen gardens),Cropland
36142824,3.65,88.18,Agriculture (excluding fallow land and kitchen gardens),Grassland
35262100,3.35,142.96,Agriculture (excluding fallow land and kitchen gardens),Cropland
35822566,3.3,176.13,Agriculture (excluding fallow land and kitchen gardens),Grassland
36282930,3.15,174.17,Agriculture (excluding fallow land and kitchen gardens),Cropland
35402214,3.85,1084.34,Agriculture (excluding fallow land and kitchen gardens),Cropland
35382192,3.95,1211.05,Semi-natural and natural areas not in use,Woodland
35562342,2.4,227.19,Agriculture (excluding fallow land and kitchen gardens),Cropland
35662424,2.35,107.86,Agriculture (excluding fallow land and kitchen gardens),Cropland
35682434,2.4,112.73,Agriculture (excluding fallow land and kitchen gardens),Cropland
35302114,2.4,288.11,Agriculture (excluding fallow land and kitchen gardens),Cropland
36342964,3.3,116.36,Agriculture (excluding fallow land and kitchen gardens),Cropland
35282092,3.25,156.86,Agriculture (excluding fallow land and kitchen gardens),Cropland
35522294,2.1,276.29,Agriculture (excluding fallow land and kitchen gardens),Cropland
36603158,2.9,25.37,Agriculture (excluding fallow land and kitchen gardens),Cropland
35622370,2.55,184.38,Agriculture (excluding fallow land and kitchen gardens),Cropland
36142788,3.75,119.92,Forestry,Woodland
35582326,2.9,181.53,Agriculture (excluding fallow land and kitchen gardens),Grassland
35702420,2.3,89.17,Agriculture (excluding fallow land and kitchen gardens),Cropland
35462218,3.9,1378.67,Semi-natural and natural areas not in use,Woodland
35622352,2.35,121.42,Agriculture (excluding fallow land and kitchen gardens),Cropland
35562300,2.25,233.41,Agriculture (excluding fallow land and kitchen gardens),Cropland
35682398,2.25,152.29,Agriculture (excluding fallow land and kitchen gardens),Grassland
36302902,3.35,261.05,Agriculture (excluding fallow land and kitchen gardens),Cropland
35922588,2.75,213.09,Forestry,Woodland
36643156,3.75,42.21,Agriculture (excluding fallow land and kitchen gardens),Grassland
35542260,4.0,471.21,Semi-natural and natural areas not in use,Woodland
35382120,3.35,262.39,Agriculture (excluding fallow land and kitchen gardens),Cropland
35722404,2.85,167.87,Agriculture (excluding fallow land and kitchen gardens),Cropland
35842502,3.25,123.17,Agriculture (excluding fallow land and kitchen gardens),Grassland
35782450,3.45,120.82,Agriculture (excluding fallow land and kitchen gardens),Cropland
36182776,3.5,105.19,Agriculture (excluding fallow land and kitchen gardens),Cropland
36262836,3.2,103.62,Agriculture (excluding fallow land and kitchen gardens),Bareland
35342068,3.15,309.54,Agriculture (excluding fallow land and kitchen gardens),Cropland
35922558,2.75,224.99,Agriculture (excluding fallow land and kitchen gardens),Grassland
35942566,3.0,240.51,Agriculture (excluding fallow land and kitchen gardens),Cropland
35882514,3.5,141.07,Agriculture (excluding fallow land and kitchen gardens),Cropland
36242802,2.9,165.65,Agriculture (excluding fallow land and kitchen gardens),Cropland
36883306,2.7,39.37,Forestry,Woodland
35402092,3.15,250.66,Agriculture (excluding fallow land and kitchen gardens),Cropland
