POINT_ID,BD 0-20,Depth,pH_CaCl2,EC,OC,P,N,K,TH_LAT,TH_LONG,LC,LU,LC0_Desc,LC1_Desc,LU1_Desc,Clay,erosion_by_water
53403940,1.171,0-20 cm,4.8,5.67,14.8,55.1,1.5,69.5,57.45509604,27.14604703,C33,U111,Woodland,Other mixed woodland,Agriculture (excluding fallow land and kitchen gardens),10.0,0.0
51284746,0.493,0-20 cm,3.2,6.38,104.9,21.7,3.5,91.2,64.92220822,27.14890553,C33,U120,Woodland,Other mixed woodland,Forestry,4.0,
57062390,1.17,0-20 cm,6.6,9.7,25.6,< LOD,2.5,234.4,43.1844468,27.15816314,B32,U111,Cropland,Rape and turnip rape,Agriculture (excluding fallow land and kitchen gardens),19.0,6.81185054779053
53723818,1.347,0-20 cm,5.1,8.91,17.3,46.4,1.6,158.9,56.32673918,27.16551465,B16,U111,Cropland,Maize,Agriculture (excluding fallow land and kitchen gardens),8.0,0.0249999985098839
57082394,,0-20 cm,7.4,18.86,37.1,30.6,1.9,312.9,43.21537567,27.19270766,B52,U111,Cropland,Lucerne,Agriculture (excluding fallow land and kitchen gardens),17.0,0.0750004798173904
56482666,0.918,0-20 cm,6.5,21.4,27.2,38.5,2.6,616.9,45.71802225,27.19509021,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens),58.0,
57322286,1.138,0-20 cm,6.0,8.88,31.7,< LOD,3.1,248.8,42.21977986,27.19960036,C10,U120,Woodland,Broadleaved woodland,Forestry,24.0,0.0
57162364,1.452,0-20 cm,5.4,6.63,10.7,< LOD,1.1,124.9,42.93617683,27.21028663,E10,U420,Grassland,Grassland with sparse tree/shrub cover,Semi-natural and natural areas not in use,35.0,1.57652010557285e-07
56962458,1.187,0-20 cm,7.4,12.43,11.7,< LOD,1.3,191,43.80035005,27.21708833,B31,U111,Cropland,Sunflower,Agriculture (excluding fallow land and kitchen gardens),60.0,4.23401070293039e-06
52944140,1.291,0-20 cm,5.4,8.61,22.9,19.2,2.1,130.2,59.29150886,27.23450179,E30,U112,Grassland,Spontaneously re-vegetated surfaces,Fallow land,8.0,1.69379524295188e-10
