POINT_ID,SHI,height_m,temp_c_mean_1995_2024,rain_mmsqm_mean_1995_2024,land_use,land_cover,lon_x,lat_y,kg_climate_class_label,geom
28362414,3.45,319.48,13.05,1425.9,Forestry,Woodland,-8.42427799,43.18168655,Csb,"c(-8.42427798998749, 43.1816865532344)"
28802416,3.75,551.34,11.62,1439.76,Forestry,Woodland,-7.90138156,43.29458065,Csb,"c(-7.9013815613068, 43.2945806512464)"
27842416,3.75,263.47,12.83,2062.69,Forestry,Woodland,-9.05252143,43.082807,Csb,"c(-9.05252142846529, 43.0828069994634)"
29082418,3.85,635.61,11.8,1258.93,Agriculture,Grassland,-7.56965422,43.37139568,Cfb,"c(-7.56965422282959, 43.3713956751298)"
28102420,3.65,191.29,13.04,1635.16,Forestry,Woodland,-8.7528988,43.17626709,Csb,"c(-8.75289880283009, 43.1762670918116)"
29042420,3.75,531.43,12.13,1263.64,Semi natural and natural,Shrubland,-7.62326541,43.38047048,Cfb,"c(-7.62326541386124, 43.3804704849365)"
28322424,3.75,333.3,13.4,1326.11,Forestry,Woodland,-8.50043564,43.26003305,Csb,"c(-8.50043563819746, 43.2600330536898)"
28422424,2.4,43.36,14.27,1090.62,Agriculture,Cropland,-8.3803531,43.28205369,Csb,"c(-8.38035309790189, 43.2820536856514)"
28742448,3.85,199.1,13.99,1163.1,Agriculture,Grassland,-8.06202698,43.56105831,Csb,"c(-8.06202698317674, 43.5610583065537)"
28822460,3.75,331.7,13.43,1149.72,Forestry,Woodland,-7.99869608,43.68302514,Cfb,"c(-7.99869607767582, 43.6830251351887)"
29222392,3.85,507.63,12.01,1135.44,Semi natural and natural,Shrubland,-7.33176788,43.1731148,Csb,"c(-7.33176788190864, 43.1731148015873)"
29322442,3.35,45.51,14.17,1013.51,Forestry,Woodland,-7.34412394,43.63140426,Csb,"c(-7.34412394217616, 43.6314042563333)"
29402410,3.35,419.97,12.81,1102.11,Forestry,Woodland,-7.16245909,43.36781151,Cfb,"c(-7.16245909061358, 43.367811506918)"
29482428,3.75,38.72,13.75,1021.83,Forestry,Woodland,-7.11320748,43.54183165,Cfb,"c(-7.11320748171029, 43.5418316511738)"
28562290,3.7,794.85,12.15,1067.25,Semi natural and natural,Woodland,-7.8484723,42.14205449,Csb,"c(-7.84847230208562, 42.1420544859967)"
28862294,3.35,1260.7,10.91,1135.04,Semi natural and natural,Shrubland,-7.50431487,42.240247599999996,Csb,"c(-7.50431486701957, 42.240247596991)"
28742296,3.55,558.08,12.7,896.75,Forestry,Woodland,-7.6515273,42.2326218,Csb,"c(-7.65152729860305, 42.2326218010367)"
28882296,3.65,1034.02,9.98,1250.46,Forestry,Woodland,-7.48583733,42.26193318,Csb,"c(-7.48583732811804, 42.2619331785487)"
28782298,3.85,546.48,12.7,896.75,Agriculture,Grassland,-7.60943238,42.25853269,Csb,"c(-7.60943238428923, 42.258532690314)"
27882298,3.75,143.72,15.29,1531.56,Forestry,Woodland,-8.67169619,42.06407222,Csb,"c(-8.6716961862692, 42.0640722174892)"
28722300,3.5,630.93,12.7,896.75,Forestry,Woodland,-7.68568917,42.26342012,Csb,"c(-7.68568917274991, 42.2634201177103)"
28942306,3.75,773.2,11.6,1064.85,Agriculture,Grassland,-7.44072321,42.36200421,Csb,"c(-7.44072321495831, 42.3620042074499)"
28402306,3.65,396.73,13.86,1124.98,Forestry,Woodland,-8.08011923,42.24770771,Csb,"c(-8.08011923170983, 42.2477077073957)"
28542318,3.45,391.19,14.26,961.7,Forestry,Woodland,-7.94658216,42.38264415,Csb,"c(-7.94658215980325, 42.3826441466778)"
28482326,3.45,439.03,13,1182.3,Forestry,Woodland,-8.03918139,42.43969811,Csb,"c(-8.03918138851848, 42.4396981106718)"
28882332,3.85,507.42,13.82,860.16,Agriculture,Shrubland,-7.58004273,42.57710792,Csb,"c(-7.58004273360004, 42.5771079209988)"
28162332,3.75,483.15,12.29,2139.32,Agriculture,Grassland,-8.43474949,42.42253976,Csb,"c(-8.43474949488214, 42.422539755487)"
28602334,3.55,787.99,11.2,1374.8,Forestry,Woodland,-7.91825195,42.53533641,Csb,"c(-7.9182519528074, 42.5353364109172)"
28282334,3.55,672.54,12.04,1813.84,Forestry,Woodland,-8.29803361,42.46625999,Csb,"c(-8.29803360896057, 42.4662599891209)"
28142338,3.9,366.87,12.29,2139.32,Semi natural and natural,Shrubland,-8.47497555,42.47048879,Csb,"c(-8.47497554865512, 42.4704887854045)"
28742340,3.35,555.85,13,1007.54,Agriculture,Cropland,-7.76783505,42.6175852,Csb,"c(-7.76783505220918, 42.6175852002968)"
29082342,3.65,677.94,12.32,1167.23,Semi natural and natural,Woodland,-7.36802365,42.70634397,Csb,"c(-7.36802364560364, 42.7063439747758)"
28962348,3.65,581.23,12.16,1102.14,Forestry,Woodland,-7.52692923,42.73388882,Csb,"c(-7.52692923388383, 42.733888822401)"
28262354,3.85,545.03,12.08,1855.96,Forestry,Woodland,-8.37669109,42.63643593,Csb,"c(-8.37669108920779, 42.6364359339378)"
29042356,3.85,532.59,12.92,981.4,Forestry,Woodland,-7.45251106,42.82060668,Csb,"c(-7.45251106218915, 42.8206066847255)"
28382362,3.65,397.97,13.66,1401.08,Agriculture,Cropland,-8.2559451,42.73245974,Csb,"c(-8.25594509907075, 42.7324597449486)"
28482368,3.8,337.95,13.51,1287.52,Agriculture,Cropland,-8.15323088,42.80655165,Csb,"c(-8.15323088102608, 42.806551646857)"
28762374,3.65,610.89,12.11,1250.17,Forestry,Woodland,-7.8351855,42.91908519,Csb,"c(-7.83518549719619, 42.9190851866119)"
28942378,3.45,452.17,12.44,1091.88,Forestry,Woodland,-7.6305268,42.99215987,Csb,"c(-7.63052680124387, 42.992159872301)"
28362378,3.65,304.74,14.15,1446.16,Forestry,Woodland,-8.3239119,42.86771879,Csb,"c(-8.3239119030468, 42.8677187904367)"
28222378,3.55,285.5,13.8,1638.99,Forestry,Woodland,-8.4908927,42.83697702,Csb,"c(-8.49089270396444, 42.8369770180558)"
28402378,3.4,260.33,13.71,1381.49,Semi natural and natural,Woodland,-8.27617514,42.87645194,Csb,"c(-8.27617514213703, 42.8764519417824)"
28022380,3.9,316.72,13.63,2200.27,Agriculture,Cropland,-8.7348188,42.81000969,Csb,"c(-8.73481880034019, 42.810009686464)"
29082382,3.65,550.07,12.18,1094.33,Forestry,Woodland,-7.47338709,43.05649378,Csb,"c(-7.47338708871814, 43.0564937778758)"
29102326,3.45,767.99,12.66,1130.57,Forestry,Woodland,-7.30253545,42.57033853,Csb,"c(-7.30253545403917, 42.5703385281)"
29122342,3.55,796.45,12.32,1167.23,Forestry,Woodland,-7.3203035,42.71462236,Csb,"c(-7.32030349969919, 42.7146223600285)"
29182358,3.55,486.93,11.63,1257.96,Agriculture,Grassland,-7.29038555,42.86714732,Csb,"c(-7.29038555072436, 42.8671473229745)"
29242344,3.8,1029.95,10.49,1404.68,Agriculture,Grassland,-7.18224959,42.75684848,Csb,"c(-7.18224958859701, 42.7568484774957)"
29262306,3.65,562.77,12.29,1093.62,Forestry,Woodland,-7.06082529,42.427826,Csb,"c(-7.06082529005992, 42.427825996651)"
29262342,2.9,1133.71,10.49,1404.68,Forestry,Woodland,-7.15319114,42.74342044,Csb,"c(-7.15319114127224, 42.7434204383253)"
29302338,3.9,1107.86,10.7,1368.37,Agriculture,Grassland,-7.09511701,42.71653713,Csb,"c(-7.09511701118674, 42.7165371310899)"
